Unnamed: 0,GDP Growth Rate by Country,Interest Rate,Inflation Rate,Unemployment Rate,Country List Government Debt to GDP,Country List Current Account to GDP,Credit Rating
Namibia,5.81,7.75,6.3,20.8,68.9,-12.3,B1
Botswana,5.6,2.65,5.7,25.4,26.1,3.1,BBB+
Hong Kong,5.3,5.5,2.0,3.0,26.1,10.7,AA+
Poland,3.8,6.75,11.5,5.1,49.1,-3.0,AA+
Mauritius,3.4,4.5,7.9,6.7,86.0,-13.8,Baa3
Dominican Republic,3.33,7.75,4.4,4.8,58.56,-5.8,BB
Bahrain,3.2,6.0,0.7,6.6,120.0,9.1,B+
Senegal,3.0,5.0,8.3,22.0,75.0,-17.5,B+
Qatar,2.7,6.0,2.61,0.1,46.9,26.0,AA
Ukraine,2.4,25.0,15.3,10.5,78.4,-1.3,CCC
Ecuador,2.34,9.03,1.69,4.0,56.0,2.2,B-
Paraguay,2.3,8.5,4.2,6.5,32.7,-5.2,BB
China,2.2,3.55,0.2,5.2,76.9,2.2,BB
Luxembourg,2.0,3.55,3.2,5.0,24.5,5.0,BB
United States,2.0,5.25,4.0,3.6,129.0,-3.7,BB
Brazil,1.9,13.75,3.94,8.3,72.87,-2.92,BB
India,1.9,6.5,4.25,7.7,89.26,-2.6,BB
Kenya,1.9,10.5,7.9,4.9,67.3,-6.0,B
Thailand,1.9,2.0,0.23,1.05,60.96,-0.5,BBB+
Portugal,1.6,2.0,3.4,7.2,114.0,-1.3,BBB+
Albania,1.4,3.0,4.7,10.9,67.0,-7.8,B+
Colombia,1.4,13.25,12.36,10.5,61.1,-6.2,B+
Croatia,1.4,13.25,7.7,5.6,68.4,-3.3,BBB+
Ghana,1.1,29.5,42.2,3.9,88.8,-3.2,SD
Moldova,1.1,6.0,16.3,5.5,32.1,-13.1,B3
Philippines,1.1,6.25,5.4,4.3,60.9,-4.4,BBB+
Bosnia and Herzegovina,1.0,3.88,6.5,29.03,19.6,-4.3,BBB+
Jamaica,1.0,7.0,6.1,6.6,86.2,-3.2,B+
Mexico,1.0,11.25,5.06,2.9,49.6,-0.9,B+
Malaysia,0.9,3.0,2.8,3.5,60.4,2.6,A-
Canada,0.8,4.75,3.4,5.4,113.0,-0.4,A-
Chile,0.8,11.25,7.6,8.5,38.0,-9.0,A-
Cyprus,0.8,11.25,1.9,4.9,86.5,-9.1,A-
Tunisia,0.8,8.0,9.3,15.2,80.0,-8.6,A-
Israel,0.77,4.75,4.6,3.6,60.9,2.5,AA-
Argentina,0.7,97.0,114.0,6.9,85.0,-0.7,AA-
Cape Verde,0.7,1.0,3.8,13.6,127.0,-3.4,AA-
El Salvador,0.7,5.02,4.42,7.2,78.03,-8.3,CCC+
Japan,0.7,-0.1,3.2,2.6,264.0,1.9,CCC+
Denmark,0.6,3.1,2.9,2.4,30.1,13.2,CCC+
Italy,0.6,3.1,6.4,7.6,145.0,-1.3,CCC+
Latvia,0.6,3.1,12.1,6.4,40.8,-6.4,CCC+
Slovenia,0.6,3.1,6.9,5.0,69.9,-0.4,CCC+
Spain,0.6,3.1,1.9,13.26,113.0,0.6,CCC+
Sweden,0.6,3.75,9.7,7.9,33.0,4.3,CCC+
Belgium,0.5,3.75,4.15,5.6,105.0,-3.5,CCC+
Bulgaria,0.49,2.77,10.1,5.1,20.5,-0.7,BBB
South Africa,0.4,8.25,6.3,32.9,67.4,-0.5,BB-
Costa Rica,0.3,7.0,-1.0,10.6,82.36,-4.3,B+
Iceland,0.3,8.75,8.9,3.4,68.7,-1.5,A
Slovakia,0.3,8.75,11.9,5.1,57.8,-8.3,A
South Korea,0.3,3.5,2.7,2.5,49.6,3.2,AA
Switzerland,0.3,1.75,1.7,1.9,41.4,9.8,AA
Turkey,0.3,15.0,38.21,10.2,31.7,-5.4,AA
Australia,0.2,4.1,7.0,3.6,22.3,1.9,AA
Finland,0.2,4.1,6.8,9.0,73.0,-3.9,AA
France,0.2,4.1,4.5,7.1,112.0,-2.1,AA
Norway,0.2,3.75,6.7,3.0,37.4,30.3,AA
Romania,0.2,7.0,10.64,5.5,47.3,-9.3,BBB-
European Union,0.1,7.0,7.1,5.9,84.0,-0.6,BBB-
United Kingdom,0.1,5.0,8.7,3.8,101.0,-5.6,BBB-
Austria,0.0,5.0,8.0,5.7,78.4,0.7,BBB-
Belize,0.0,2.25,5.9,5.0,46.2,-8.8,B-
Czech Republic,0.0,7.0,11.1,3.5,44.1,-6.1,AA-
Euro Area,-0.1,4.0,5.5,6.5,91.5,-1.0,AA-
Greece,-0.1,4.0,1.8,10.8,171.0,-9.7,AA-
New Zealand,-0.1,5.5,6.7,3.4,35.9,-8.9,AA+
Honduras,-0.2,3.0,5.6,8.7,48.06,-3.4,BB-
Serbia,-0.2,6.25,14.8,10.1,55.1,-6.9,BB+
Germany,-0.3,6.25,6.4,5.7,66.3,4.2,BB+
Hungary,-0.3,16.0,20.1,3.9,73.3,-8.2,BBB-
Netherlands,-0.3,16.0,5.7,3.5,51.0,4.4,BBB-
Singapore,-0.4,3.8,5.1,1.8,168.0,19.3,BBB-
Malta,-0.5,3.8,6.3,2.9,53.4,-5.8,BBB-
Rwanda,-0.5,7.0,22.4,17.2,64.4,-11.6,B+
Taiwan,-0.59,1.88,1.75,3.5,64.4,14.8,AA+
Estonia,-0.6,1.88,9.2,5.3,18.4,-2.2,AA+
Uganda,-0.7,10.0,4.9,4.3,48.6,-9.5,B
Indonesia,-0.92,5.75,3.52,5.45,40.9,1.0,BBB
Angola,-1.1,17.0,10.62,29.6,56.1,11.4,B-
Saudi Arabia,-1.4,5.75,2.8,5.1,30.0,13.8,A
Lesotho,-1.7,7.75,6.9,18.0,52.1,-3.8,B
Lithuania,-2.1,7.75,11.7,8.3,38.4,-5.1,B
Trinidad And Tobago,-2.7,7.75,11.7,8.3,38.4,-5.1,B
Ireland,-4.6,7.75,6.6,3.8,44.7,8.8,B
Peru,-6.8,7.75,6.46,6.8,36.0,-4.5,B
Nigeria,-15.65,18.5,22.41,33.3,38.0,-0.7,B-
Fiji,-15.65,0.25,0.8,4.3,91.1,-12.1,B+
Cambodia,-15.65,0.88,1.1,0.36,36.8,-26.9,B+
Barbados,-15.65,2.0,5.5,7.2,36.8,-10.8,B-
Seychelles,-15.65,2.0,-1.3,3.0,65.0,-8.0,BB-
Cuba,-15.65,2.25,45.48,2.8,117.0,0.9,Ca
Algeria,-15.65,3.0,9.8,12.7,52.4,7.8,Ca
Libya,-15.65,3.0,4.1,20.7,155.0,13.3,Ca
Morocco,-15.65,3.0,7.1,12.9,78.4,-3.5,BB+
Comoros,-15.65,3.08,20.2,8.8,32.7,-3.2,BB+
Bolivia,-15.65,3.26,2.9,6.9,82.6,-1.5,B-
Papua New Guinea,-15.65,3.5,3.41,2.8,51.5,22.1,B-
Trinidad and Tobago,-15.65,3.5,5.7,4.7,83.3,11.9,B-
Bahamas,-15.65,4.0,5.7,10.1,95.6,-14.2,B+
Iraq,-15.65,4.0,4.0,15.55,36.7,16.3,B-
Kuwait,-15.65,4.0,3.69,2.5,7.1,28.5,A+
New Caledonia,-15.65,4.0,2.2,12.3,7.1,28.5,A+
Vietnam,-15.65,4.5,2.0,2.3,37.1,-0.9,BB+
Benin,-15.65,5.0,3.6,1.7,47.2,-5.7,B+
Burkina Faso,-15.65,5.0,-0.3,5.2,59.6,-5.2,B+
Cameroon,-15.65,5.0,7.32,4.0,45.0,-1.6,B-
Central African Republic,-15.65,5.0,5.3,6.4,52.1,-13.8,B-
Chad,-15.65,5.0,12.5,1.4,44.7,0.5,B-
Equatorial Guinea,-15.65,5.0,5.0,8.7,27.1,3.9,B-
Gabon,-15.65,5.0,5.4,21.5,54.0,-1.2,B-
Guatemala,-15.65,5.0,6.54,3.0,27.45,1.8,BB
Guinea Bissau,-15.65,5.0,10.0,3.6,41.1,-1.1,BB
Guyana,-15.65,5.0,3.0,14.5,27.8,27.3,BB
Ivory Coast,-15.65,5.0,4.8,2.6,51.4,-4.2,BB-
Mali,-15.65,5.0,3.0,2.8,51.4,-7.2,Caa2
Niger,-15.65,5.0,0.2,0.5,51.2,-15.1,B3
Republic of the Congo,-15.65,5.0,0.2,21.8,99.57,19.2,CCC+
Tanzania,-15.65,5.0,4.0,9.3,40.13,-5.7,B2
Togo,-15.65,5.0,5.8,4.1,61.0,-3.7,B
United Arab Emirates,-15.65,5.15,3.05,2.75,38.3,11.7,AA
Brunei,-15.65,5.5,0.2,4.9,1.9,11.2,AA
Macau,-15.65,5.5,0.9,2.8,1.9,-2.4,Aa3
Oman,-15.65,5.75,0.91,2.3,61.3,3.2,BB
Bangladesh,-15.65,6.0,9.74,4.7,33.9,-4.1,BB-
Macedonia,-15.65,6.0,9.3,13.4,51.0,-6.7,BB-
Bhutan,-15.65,6.88,3.4,4.8,125.0,-33.8,BB-
Ethiopia,-15.65,7.0,30.8,4.8,31.4,-4.3,CCC
Maldives,-15.65,7.0,2.82,4.9,57.9,-16.6,Caa1
Myanmar,-15.65,7.0,19.55,2.2,62.5,-1.8,Caa1
Jordan,-15.65,7.25,1.97,21.9,89.4,-6.7,B+
Swaziland,-15.65,7.25,6.1,24.4,19.44,6.0,B3
Laos,-15.65,7.5,28.64,2.6,68.01,-0.07,Caa3
Nepal,-15.65,7.5,7.41,5.1,41.4,-12.8,Caa3
Russia,-15.65,7.5,2.5,3.2,17.2,10.3,NR
Burundi,-15.65,7.63,28.9,1.0,17.2,-13.4,NR
Lebanon,-15.65,7.75,260.0,12.6,151.0,-12.9,D
Mauritania,-15.65,8.0,9.8,11.1,44.2,-14.3,D
Azerbaijan,-15.65,9.0,11.5,5.5,11.7,30.5,BB+
Congo,-15.65,9.0,24.93,5.5,14.6,-6.4,B-
Belarus,-15.65,9.5,3.7,3.6,32.8,4.2,SD
Madagascar,-15.65,9.5,12.11,2.1,36.2,-5.8,B-
Zambia,-15.65,9.5,9.8,12.5,123.0,3.9,SD
Sao Tome and Principe,-15.65,10.0,20.0,15.3,88.0,3.9,SD
Suriname,-15.65,10.0,64.6,8.6,124.0,-1.7,SD
Tajikistan,-15.65,10.0,2.4,7.8,34.6,6.2,B-
Nicaragua,-15.65,10.01,9.47,3.1,60.4,-1.4,B
Armenia,-15.65,10.5,-0.5,13.7,60.25,0.1,B+
Georgia,-15.65,10.5,0.6,18.0,41.3,-3.1,BB
Uruguay,-15.65,10.75,5.98,8.7,66.9,-2.6,BB
Sri Lanka,-15.65,11.0,12.0,4.8,114.0,-1.9,SD
Guinea,-15.65,11.5,8.27,5.7,43.3,28.83,SD
South Sudan,-15.65,12.0,1.7,13.0,43.3,28.83,SD
Kyrgyzstan,-15.65,13.0,11.3,2.8,60.3,-26.8,NR
Mongolia,-15.65,13.0,11.3,6.6,56.0,-15.8,B
Uzbekistan,-15.65,14.0,10.38,9.6,38.0,1.4,BB-
Gambia,-15.65,16.0,17.37,4.8,80.8,-5.3,BB-
Kazakhstan,-15.65,16.75,14.6,4.8,24.4,3.0,BBB-
Haiti,-15.65,17.0,48.3,14.8,23.1,-2.3,BBB-
Mozambique,-15.65,17.25,8.23,14.8,101.0,-23.8,CCC+
Liberia,-15.65,17.5,6.1,3.6,51.3,-15.8,CCC+
Iran,-15.65,18.0,42.6,9.7,34.0,4.7,CCC+
Egypt,-15.65,18.25,32.7,7.1,87.2,-3.7,B
Sierra Leone,-15.65,18.75,44.43,3.6,98.8,-10.3,B
Malawi,-15.65,22.0,29.2,5.6,66.7,-2.8,B
Pakistan,-15.65,22.0,29.4,6.3,84.0,-4.6,CCC+
Sudan,-15.65,27.3,63.3,18.7,182.0,-10.0,CCC+
Venezuela,-15.65,53.62,429.0,6.4,241.0,3.5,CCC+
Zimbabwe,-15.65,150.0,176.0,7.9,77.2,-1.89,CCC+
Afghanistan,-15.65,150.0,-1.0,13.3,7.4,-17.3,CCC+
Panama,-15.65,150.0,0.42,8.8,63.66,-4.1,BBB
Djibouti,-15.65,150.0,0.6,27.9,47.0,-5.0,BBB
Liechtenstein,-15.65,150.0,2.2,1.3,47.0,-5.0,AAA
Puerto Rico,-15.65,150.0,3.5,6.1,47.0,-5.0,AAA
Palestine,-15.65,150.0,3.86,25.2,21.3,-8.2,AAA
Aruba,-15.65,150.0,4.0,25.2,21.3,-8.2,BBB
Bermuda,-15.65,150.0,4.7,25.2,21.3,-8.2,A+
Kosovo,-15.65,150.0,5.5,20.7,20.74,-10.8,A+
Cayman Islands,-15.65,150.0,6.6,2.1,4.5,-13.6,A+
Somalia,-15.65,150.0,6.6,2.1,4.5,-13.6,A+
East Timor,-15.65,150.0,7.1,4.9,4.5,-11.6,A+
Eritrea,-15.65,150.0,7.5,6.6,164.0,12.2,A+
Faroe Islands,-15.65,150.0,8.3,0.7,164.0,12.2,A+
Montenegro,-15.65,150.0,8.4,17.37,69.46,-13.3,B
Solomon Islands,-15.65,150.0,9.2,17.37,69.46,-13.3,B
Vanuatu,-15.65,150.0,11.4,17.37,69.46,-13.3,B
Turkmenistan,-15.65,150.0,17.5,5.1,8.0,5.7,B+
Syria,-15.65,150.0,139.0,9.6,8.0,5.7,B+
North Korea,-15.65,150.0,139.0,3.0,8.0,5.7,B+
Yemen,-15.65,150.0,139.0,13.59,68.66,5.7,B+
