,GDP Growth Rate by Country,Interest Rate,Inflation Rate,Unemployment Rate,Country List Government Debt to GDP,Country List Current Account to GDP,Credit Rating,Employed Persons,Labor Force Participation Rate,Population,Unemployed Persons,Youth Unemployment Rate,Wages,Minimum Wages,Productivity,Retirement Age Men,Retirement Age Women,Wages in Manufacturing,Employment Change,Employment Rate,Full Time Employment,Job Vacancies,Labour Costs,Long Term Unemployment Rate,Part Time Employment,Wage Growth,Asylum Applications,Initial Jobless Claims,Non Farm Payrolls,Balance of Trade
Namibia,5.81,7.75,6.3,20.8,68.9,-12.3,B1,725742,71.2,2.6,364411,46.1,,,,,,,,,,,,,,,,,,
Botswana,5.6,2.65,5.7,25.4,26.1,3.1,BBB+,486376,,2.34,,,6803,,,,,,,,,,,,,,,,,
Hong Kong,5.3,5.5,2,3,,10.7,AA+,3674,57.6,7.35,113,5,17728,37.5,110,65,65,15847,,,,,,,,,,,,
Poland,3.8,6.75,11.5,5.1,49.1,-3,,16852,58.4,37.65,804,10.3,7124,746,127,65,60,6837,0.4,72,15440,56.9,150,0.9,956,12.2,565,,,
Mauritius,3.4,4.5,7.9,6.7,86,-13.8,Baa3,552,,1.26,39.4,,37451,,102,,,112,,93.3,,5096,114,,,,,,,
Dominican Republic,3.33,7.75,4.4,4.8,58.56,-5.8,BB,,63.6,10.62,,,,,,,,,,60.6,,,,,,,,,,
Bahrain,3.2,6,0.7,6.6,120,9.1,B+,607632,,1.46,,,810,,,,,,,,,,,,,,,,,
Senegal,3,5,8.3,22,75,-17.5,B+,,,17.7,,,124618,,,,,,,,,,,,,,,,,
Qatar,2.7,6,2.61,0.1,46.9,26,AA,2163247,,2.75,,,,1000,,,,,,,,,,,,,,,,
Ukraine,2.4,25,15.3,10.5,78.4,-1.3,CCC,14957,61.8,41,119,,,6700,,60,60,,,65.3,,,,,,18.16,,,,
Ecuador,2.34,9.03,1.69,4,56,2.2,B-,,65.5,17.8,,,467,450,,,,450,,44.3,,,,,,,,,,
Paraguay,2.3,8.5,4.2,6.5,32.7,-5.2,BB,3507495,,7.35,242982,,,,,,,332,,,,,,,,,,,,
China,2.2,3.55,0.2,5.2,76.9,2.2,,,,1412,,20.8,114029,2590,,60,55,97528,,,,,72.9,,,,,,,
Luxembourg,2,,3.2,5,24.5,5,,515960,62,0.65,15188,18.5,5871,2387,93.45,65,65,120,0.6,70.6,257,,117,1.5,58.1,,180,,,
United States,2,5.25,4,3.6,129,-3.7,,160994,62.6,334,5957,7.5,28.75,7.25,113,66.33,66.33,26.18,,60.3,134477,10642,128,0.66,26443,5.74,253834,248,209,
Brazil,1.9,13.75,3.94,8.3,72.87,-2.92,,98.03,61.4,215,9.1,,2891,1320,130,65,61.5,2746,,56.2,,,130,,,,,,155,
India,1.9,6.5,4.25,7.7,89.26,-2.6,,,48.5,1374,,,,178,,60,60,,,45.2,,,,,,,,,,
Kenya,1.9,10.5,7.9,4.9,67.3,-6,B,,,50.6,,,,15120,,,,,,,,,,,,,,,,
Thailand,1.9,2,0.23,1.05,60.96,-0.5,BBB+,39629,,66.17,421,6.5,15118,353,119,,,14541,,,,89422,101,,,,,,,
Portugal,1.6,,3.4,7.2,114,-1.3,,4904,60.8,10.35,353,18.3,1025,887,109,66.58,66.58,130,1.2,56.4,4511,12760,114,2.6,414,11,165,,,
Albania,1.4,3,4.7,10.9,67,-7.8,B+,1322,75.7,2.79,161,22.5,64706,34000,,65,61.33,,,67.1,,,,,,,,,,
Colombia,1.4,13.25,12.36,10.5,61.1,-6.2,,22567,63.9,51.41,2641,,,1160000,,,,,,57.17,,,,,,,,,,
Croatia,1.4,,7.7,5.6,68.4,-3.3,BBB+,1582,52.1,3.85,97758,19.3,1122,700,98.9,65,63.25,1033,1.2,64.6,1484,,111,2.4,67.6,11.98,4225,,,
Ghana,1.1,29.5,42.2,3.9,88.8,-3.2,SD,,,32.83,,,,,,,,,,,,,,,,,,,,
Moldova,1.1,6,16.3,5.5,32.1,-13.1,B3,865,44.5,2.6,23,13.2,11486,,,63,60,9449,,42,,,,,,,,,,
Philippines,1.1,6.25,5.4,4.3,60.9,-4.4,BBB+,48058,65.3,112,2256,,,610,,,,,,95.3,,,,,,,,,,
Bosnia and Herzegovina,1,3.88,6.5,29.03,19.6,-4.3,,,,3.44,,,1911,,,,,1467,,,,,,,,,,,,
Jamaica,1,7,6.1,6.6,86.2,-3.2,B+,1268000,64.7,2.83,89700,16.7,,,,,,,,93.4,,,,,,,,,,
Mexico,1,11.25,5.06,2.9,49.6,-0.9,,58492126,60.01,129,1597182,,535,207,110,65,65,3.8,,97.07,,,156,,,,,,,
Malaysia,0.9,3,2.8,3.5,60.4,2.6,A-,16251,70,33,587,,3037,1500,,60,60,3413,,,,686522,,,,,,,,
Canada,0.8,4.75,3.4,5.4,113,-0.4,,20173,65.7,39.29,1147,11.5,29.56,16.65,106,65,65,30.78,59.9,62.2,110,781205,131,,-49.8,2.9,9200,,17786,
Chile,0.8,11.25,7.6,8.5,38,-9,,9034,60.9,19.69,842,,6420,440000,,65,60,153,,55.7,,8.7,,,,,,,,
Cyprus,0.8,,1.9,4.9,86.5,-9.1,,450,65.6,0.9,33394,14.6,2217,,111,65,65,,0.3,73.6,404,12198,103,2.2,39.4,7.2,645,,,
Tunisia,0.8,8,9.3,15.2,80,-8.6,N/A,3500,,11.8,,,,16.5,,,,,,,,,,,,,,,,
Israel,0.77,4.75,4.6,3.6,60.9,2.5,AA-,4346,64.2,9.45,164,,12853,5572,,67,62,132,,61.8,,129921,,,,,,,,
Argentina,0.7,97,114,6.9,85,-0.7,,13191,47.6,46.24,974,,317903,87987,,,,,,44.6,,,,,,6.86,,,,
Cape Verde,0.7,1,3.8,13.6,127,-3.4,,186627,53,0.58,31724,28.37,,13000,,,,,,45.3,,,,,,,,,,
El Salvador,0.7,5.02,4.42,7.2,78.03,-8.3,CCC+,,61.7,6.31,,14.7,,,,,,,,46.36,,,,,,,,,,
Japan,0.7,-0.1,3.2,2.6,264,1.9,,67360,62.9,125,1770,3.7,326156,961,97.5,64,64,348241,,61.2,22528,869,,,7038,2.5,,,,
Denmark,0.6,3.1,2.9,2.4,30.1,13.2,,2999,70.9,5.87,69.5,10.7,44546,,112,67,67,156,0.4,67.4,2157,56138,112,0.5,719,,170,,,
Italy,0.6,,6.4,7.6,145,-1.3,,23446,66.3,58.98,1935,21.7,2627,,111,67,67,107,0.8,61,14763,,111,4.5,3477,2.5,8175,,,
Latvia,0.6,,12.1,6.4,40.8,-6.4,,880,68,1.88,48850,11.7,1117,620,120,64.25,64.25,,0.4,63.7,769,23637,154,1.8,59.5,,205,,,
Slovenia,0.6,,6.9,5,69.9,-0.4,,932968,57.8,2.11,46178,6.6,2182,1203,112,60,60,2110,0.2,71.5,875,15804,117,1.4,81.6,8.98,600,,,
Spain,0.6,,1.9,13.26,113,0.6,,20453,58.55,47.43,2689,28.4,2127,1167,102,66.17,66.17,2439,1.3,50.78,17647,60.85,118,4.7,2805,5.98,17405,,,
Sweden,0.6,3.75,9.7,7.9,33,4.3,,5297,75.9,10.45,456,19.9,188,,106,62,62,199,0.6,69.9,3967,1826,151,1.7,998,2.7,835,,,
Belgium,0.5,,4.15,5.6,105,-3.5,,4330,70.6,11.63,463756,14.6,,1955,101,65,65,143,0.36,66.6,3718,196922,124,2.4,1224,10.2,2235,,,
Bulgaria,0.49,2.77,10.1,5.1,20.5,-0.7,BBB,2928,55.6,6.44,144,9.2,1953,399,120,64.42,61.83,1664,0.5,53.1,2778,20278,193,2.3,41.9,,1480,,,
South Africa,0.4,8.25,6.3,32.9,67.4,-0.5,BB-,,59.4,59.89,7933,62.1,26032,25.42,,60,60,22517,,39.9,,,127,,,,,,,
Costa Rica,0.3,7,-1,10.6,82.36,-4.3,B+,,56.8,5.16,,,752812,5963,,,,,,50.75,,,,,,,,,,
Iceland,0.3,8.75,8.9,3.4,68.7,-1.5,A,216900,79.6,0.38,7600,7.8,808000,,,67,67,,,76.9,155,760,,,45.7,0.1,405,,,
Slovakia,0.3,,11.9,5.1,57.8,-8.3,,2579,93.8,5.43,142309,18.7,1448,700,115,64,64,1427,-0.1,71.3,2463,,151,3.9,72.5,-4.9,30,,,
South Korea,0.3,3.5,2.7,2.5,49.6,3.2,AA,28512,65.3,51.63,734,5.9,4576213,9620,123,60,60,5359607,1.23,62.7,,,114,,,,2341,,,
Switzerland,0.3,1.75,1.7,1.9,41.4,9.8,,5266,83.5,8.74,85099,1.7,6712,,105,65,64,111,1.2,79.9,2870,48938,,1.3,1720,1.8,1920,,5389,
Turkey,0.3,15,38.21,10.2,31.7,-5.4,,31610,53.9,85.28,3585,19.1,4050,13414,,60,58,983,,48.4,,,864,3.5,,,,,,
Australia,0.2,4.1,7,3.6,22.3,1.9,,14012,66.9,26.27,516,7.6,1379,883,97.8,66.5,66.5,1546,75936,64.5,61680,438,115,,14256,3.7,,,,
Finland,0.2,,6.8,9,73,-3.9,,2680,71.4,5.56,266,27.4,3818,,106,64,64,112,0.9,75,2046,64462,112,1.6,421,6.5,295,,,
France,0.2,,4.5,7.1,112,-2.1,,30291,73.9,67.84,2806,16.9,3321,1709,98.91,62,62,115,0.2,68.6,23194,317,118,1.8,4693,1.9,10260,6.2,27072,
Norway,0.2,3.75,6.7,3,37.4,30.3,,2871,72.3,5.43,62083,8,54360,,112,62,62,122,0.5,70.1,2046,136200,140,0.6,672,4.46,340,,,
Romania,0.2,7,10.64,5.5,47.3,-9.3,BBB-,5110,66.7,19.04,226,21.7,7311,606,131,65,61.92,6642,-1.1,63.1,7446,0.93,208,2,259,13.5,1060,,,
European Union,0.1,,7.1,5.9,84,-0.6,,197501,74.7,447,12937,13.9,,,105,62.54,64.46,,0.6,,161730,,104,2.2,35637,5,76505,,,
United Kingdom,0.1,5,8.7,3.8,101,-5.6,,33089,79,67.53,1536,10.9,648,10.42,101,66,66,705,250,76,24636,1051,112,,8453,6.5,28746,,22.88,
Austria,0,,8,5.7,78.4,0.7,,3873,61.3,8.98,239301,10.6,2521,,105,65,60,127,0.5,73.2,3028,117168,126,1.3,1306,,3290,,,
Belize,0,2.25,5.9,5,46.2,-8.8,B-,182,,0.44,19.85,,,,,,,,,,,,,,,,,,,
Czech Republic,0,7,11.1,3.5,44.1,-6.1,AA-,5198,60.4,10.53,,7.9,41265,717,107,63.83,63.83,39739,0.4,75.6,4700,,148,0.7,335,-6.7,70,,,
Euro Area,-0.1,4,5.5,6.5,91.5,-1,,168,74.7,343,11014,13.9,2066,,104,64.99,64.74,,0.6,,121011,,103,2.5,32144,4.6,,,,
Greece,-0.1,,1.8,10.8,171,-9.7,,4146,51.4,10.6,530,24,,832,98.46,67,67,,-0.3,88.67,3753,30497,98.23,6.3,345,,2315,,,
New Zealand,-0.1,5.5,6.7,3.4,35.9,-8.9,AA+,2886,72,5.15,102,10.3,39.01,22.7,128,65,65,36.75,0.8,69.5,2327,,1332,,557,4.5,,,,
Honduras,-0.2,3,5.6,8.7,48.06,-3.4,BB-,,,9.6,,,,,,,,,,,,,,,,,,,,
Serbia,-0.2,6.25,14.8,10.1,55.1,-6.9,BB+,2835900,55.2,6.8,416,24.9,83812,460,,65,63.33,,,49.6,,,101,,,14.8,,,,
Germany,-0.3,,6.4,5.7,66.3,4.2,,45796,79.7,84.4,2610,6.1,4100,12,98,65.83,65.83,106,0.3,77.2,29462,767,122,0.9,12055,-2.3,21945,,,
Hungary,-0.3,16,20.1,3.9,73.3,-8.2,BBB-,4703720,66.9,9.69,191486,11.2,568314,579,115,65,65,,0.1,64.3,4394,83124,185,1.3,185,15.5,0,,,
Netherlands,-0.3,,5.7,3.5,51,4.4,,9727,75.7,17.59,353,8.2,3208,1934,103,66.58,66.58,134,0.5,82.1,5296,433,121,0.6,3944,5.74,2540,,,
Singapore,-0.4,3.8,5.1,1.8,168,19.3,,3932,70,5.64,98,,7021,,119,63,63,,,,,97400,119,,,,,,,
Malta,-0.5,,6.3,2.9,53.4,-5.8,,265075,80.4,0.52,966,8.8,1924,835,98.46,63,63,,2.9,78,254,,136,0.7,30.5,,25,,,
Rwanda,-0.5,7,22.4,17.2,64.4,-11.6,B+,3804,57.6,13.25,792,20.4,,,,,,,,47.7,,,,,,,,,,
Taiwan,-0.59,1.88,1.75,3.5,,14.8,AA+,11529,59.23,23.26,418,11.52,51658,26400,105,,,50403,,,,,88.28,,,,,,,
Estonia,-0.6,,9.2,5.3,18.4,-2.2,,703,73.3,1.33,49.56,11.8,1775,725,112,64.25,64.25,1692,4.4,69.4,562,5.62,161,1.1,92.7,9.2,390,,,
Uganda,-0.7,10,4.9,4.3,48.6,-9.5,B,,,45.85,,,,,,,,,,,,,,,,,,,,
Indonesia,-0.92,5.75,3.52,5.45,40.9,1,BBB,135611895,69.06,276,8425931,,,,,58,58,2963061,,,,,,,,,,,,
Angola,-1.1,17,10.62,29.6,56.1,11.4,B-,11682309,89.8,33,4921,52.9,,32181,,,,,,63.1,,,,,,,,,,
Saudi Arabia,-1.4,5.75,2.8,5.1,30,13.8,A,11156,61.7,32.18,,,,,,60,60,,,58.6,,,,,,,,,,
Lesotho,-1.7,7.75,6.9,18,52.1,-3.8,B,,,2.28,,,,,,,,,,,,,,,,,,,,
Lithuania,-2.1,,11.7,8.3,38.4,-5.1,,13943,62.2,2.81,145,14.5,1960,840,117,64.33,63.67,1960,-1.4,71.5,1254,26545,182,3,75.3,,25,,,
Trinidad And Tobago,-2.7,,,,,,,561,54.6,,27.8,,,,,,,,,,,,,,,,,,,
Ireland,-4.6,,6.6,3.8,44.7,8.8,,2623,65.2,5.15,111,7.4,923,11.3,134,66,66,1089,1.6,73.6,2060,,98.2,1.2,560,4.3,630,35026,,
Peru,-6.8,7.75,6.46,6.8,36,-4.5,,5162,,32.78,375,,1905,1025,,,,,,93.2,,,,,,,,,,
Nigeria,-15.65,18.5,22.41,33.3,38,-0.7,B-,46488,,213,23187,53.4,,30000,,,,,,66.7,,,,,,,,,,
Fiji,,0.25,0.8,4.3,91.1,-12.1,B+,,,0.92,,,,,,,,,,,,,,,,,,,,
Cambodia,,0.88,1.1,0.36,36.8,-26.9,N/A,,,16.59,,,,200,,,,,,,,,,,,,,,,
Barbados,,2,5.5,7.2,,-10.8,B-,122,,,9.4,,,,,,,,,,,,,,,,,,,
Seychelles,,2,-1.3,3,65,-8,BB-,,,0.1,,,,,,,,,,,,,,,,,,,,
Cuba,,2.25,45.48,2.8,117,0.9,Ca,,,11.35,,,3830,,,,,3728,,,,,,,,,,,,
Algeria,,3,9.8,12.7,52.4,7.8,,11280,40,44.7,1449,,42271,,,60,60,43024,,,7927,,,,,,,,,
Libya,,3,4.1,20.7,155,13.3,,,,6.74,,,,,,,,,,,,,,,,,,,,
Morocco,,3,7.1,12.9,78.4,-3.5,BB+,10418,,36.67,1549,35.3,,,,,,,,39.1,,,,,,,,,,
Comoros,,3.08,20.2,8.8,32.7,-3.2,,,,0.82,,,,,,,,,,,,,,,,,,,,
Bolivia,,3.26,2.9,6.9,82.6,-1.5,B-,,77.14,12.01,,,,2250,,,,,,74.4,,,,,,,,,,
Papua New Guinea,,3.5,3.41,2.8,51.5,22.1,,,,9.95,,,,141,,,,,,,,,,,,,,,,
Trinidad and Tobago,,3.5,5.7,4.7,83.3,11.9,,,,1.37,,,,,,,,,,,,,,,,,,,,
Bahamas,,4,5.7,10.1,95.6,-14.2,B+,,,0.4,,,,,,,,,,,,,,,,,,,,
Iraq,,4,4,15.55,36.7,16.3,B-,,,43.53,,,,,,,,,,,,,,,,,,,,
Kuwait,,4,3.69,2.5,7.1,28.5,A+,,73.36,4.22,,,,,,,,,,,,,,,,,,,,
New Caledonia,,4,2.2,12.3,,,,,,2.74,,30.9,,,,,,,,,,,,,,,,,,
Vietnam,,4.5,2,2.3,37.1,-0.9,BB+,51.2,68.9,99.5,1.09,7.41,,,,60.5,55.67,,,,,,,,,,,,,
Benin,,5,3.6,1.7,47.2,-5.7,B+,,,12.91,,,,,,,,,,,,,,,,,,,,
Burkina Faso,,5,-0.3,5.2,59.6,-5.2,,,,21.51,,,,,,,,,,,,,,,,,,,,
Cameroon,,5,7.32,4,45,-1.6,B-,,,27.2,,,,,,,,,,,,,,,,,,,,
Central African Republic,,5,5.3,6.4,52.1,-13.8,,,,5.46,,,,,,,,,,,,,,,,,,,,
Chad,,5,12.5,1.4,44.7,0.5,,,,17.41,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,,5,5,8.7,27.1,3.9,,,,1.63,,,,,,,,,,,,,,,,,,,,
Gabon,,5,5.4,21.5,54,-1.2,N/A,,,2.34,,,,,,,,,,,,,,,,,,,,
Guatemala,,5,6.54,3,27.45,1.8,BB,7243,60.2,17.36,165,,,,,,,,,58.4,,,,,,,,,,
Guinea Bissau,,5,10,3.6,41.1,-1.1,,,,2.06,,,,,,,,,,,,,,,,,,,,
Guyana,,5,3,14.5,27.8,27.3,,,,0.78,,,,,,,,,,,,,,,,,,,,
Ivory Coast,,5,4.8,2.6,51.4,-4.2,BB-,,,29.39,,,,,,,,,,,,,,,,,,,,
Mali,,5,3,2.8,,-7.2,Caa2,,,21.9,,,,,,,,,,,,,,,,,,,,
Niger,,5,0.2,0.5,51.2,-15.1,B3,,,25.25,,,,,,,,,,,,,,,,,,,,
Republic of the Congo,,5,,21.8,99.57,19.2,CCC+,,,5.84,,,,,,,,,,,,,,,,,,,,
Tanzania,,5,4,9.3,40.13,-5.7,B2,,,61.74,,,,,,,,,,,,,,,,,,,,
Togo,,5,5.8,4.1,61,-3.7,B,,,8.64,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,5.15,3.05,2.75,38.3,11.7,AA,,,9.99,,,,,,,,,,,,,,,,,,,,
Brunei,,5.5,0.2,4.9,1.9,11.2,,,,0.43,10956,,,,,,,,,,,,,,,,,,,
Macau,,5.5,0.9,2.8,,-2.4,Aa3,359,67.5,0.67,11.5,,17000,,,,,12000,,,,,,,,,,,,
Oman,,5.75,0.91,2.3,61.3,3.2,BB,,,4.93,,,,325,,,,,,,,,,,,,,,,
Bangladesh,,6,9.74,4.7,33.9,-4.1,BB-,,,166,,,,8000,,59,59,,,,,,,,,,,,,
Macedonia,,6,9.3,13.4,51,-6.7,BB-,683242,52,1.84,104403,,54177,20175,,,,47348,,45.1,,9467,,11.5,,1.8,,,,
Bhutan,,6.88,3.4,4.8,125,-33.8,,,,0.78,,,,,,,,,,,,,,,,,,,,
Ethiopia,,7,30.8,,31.4,-4.3,CCC,,,120,,,,,,,,,,,,,,,,,,,,
Maldives,,7,2.82,4.9,57.9,-16.6,Caa1,,,0.58,,,,,,,,,,,,,,,,,,,,
Myanmar,,7,19.55,2.2,62.5,-1.8,,,,53.8,,,,4800,,,,,,,,,,,,,,,,
Jordan,,7.25,1.97,21.9,89.4,-6.7,B+,7956,33.3,11.3,2373,,,,,,,,,26,,,,,,,,,,
